I,UPC
45148,082442884745
45149,082442884752
45198,856169007004
45200,856169007028
45212,855959000010
45213,098289111654
45214,098289111678
45217,752334900104
45219,815648025281
45221,815648025731
45229,022188871159
45233,082442884929
45234,082442884912
45235,023614443018
45236,023614443049
45237,023614443032
45238,023614443025
45239,023614683063
45240,023614683056
45242,023614443216
45243,023614443209
45244,023614686217
45245,023614686200
45248,661120412649
45249,813393013911
45253,023614686798
45254,023614686781
45259,023614443193
45282,023614442837
45283,023614686712
45285,023614686736
45286,023614686750
45287,023614686743
45288,023614044444
45323,023614686682
45324,023614686699
45325,023614686705
45327,015813506571
45333,022188869026
45334,022188871265
45335,022188871449
45398,023614255222
45399,023614253228
45433,023614251897
45434,023614251903
45589,713780241005
45590,713780241036
45591,713780241043
45592,713780241050
45593,713780241081
45737,713780241197
45773,713780241814
45913,713780251301
45914,713780354125
45927,713780354149
45959,713780354163
45970,713780354187
45971,713780354200
45972,713780354255
46019,015813501200
46020,015813521321
46038,602686313087
46265,015813501040
46273,015813502993
46366,015813501361
46419,858763007121
46421,858763007138
46422,858763007008
46425,858763007022
46431,858763007039
46533,640832000481
46558,640832000467
46600,712038921676
46836,811745029191
46848,811745029214
46849,811745029276
46897,015813541329
46904,015813542432
46905,015813542647
46907,015813541695
46909,015813542821
46910,015813541886
46949,015813635271
46963,015813852135
46979,015813564205
46980,015813564366
46995,015813501125
46999,015813516631
47017,810496021393
47018,810496021409
47021,810496021454
47024,810496021478
47025,810496021485
47026,810496021492
47027,810496021508
47028,810496021515
47029,810496021522
47030,810496021546
47032,810496021553
47038,810496021638
47039,810496021539
47142,706397913649
47783,023614257349
47814,015813810005
47919,725327604358
47934,725327604525
48013,818773020565
48014,818773020589
48016,818773020626
48302,752334091604
48311,752334003805
48330,752334038012
48341,752334340108
48342,752334345103
48448,678958732207
48449,678958938203
48450,678958538205
48491,761226033158
48492,761226033165
48553,815835012339
48727,853677007816
48728,853677007991
48729,853677007687
48730,853677007670
48880,678958744217
48935,736676057849
48956,642230260887
48972,761220835802
48994,736676017744
48995,736676017713
48996,736676017737
49002,736676050598
49075,736676050604
49106,736676211869
49129,761226022350
49157,015813506533
49159,015813506564
49193,015813279611
49194,015813279628
49195,015813280051
49245,015813280068
49258,015813280075
49263,015813280082
49282,015813280099
49283,015813280105
49294,761226022756
49305,049533310279
49306,049533310224
49307,049533310484
49330,856953002833
49331,022188873740
49460,761226023074
49462,761226029885
49465,761226022831
49466,761226024132
49468,761226030164
49476,761226028635
49477,761226028529
49478,761226028543
49479,761226028550
49514,752334000101
49668,752334600134
49669,752334600127
49670,752334600158
49671,752334600141
50033,884110757937
50034,884110757692
50043,015813280013
50188,744253001833
50189,744253001840
50194,744253001857
50197,022188780123
50229,818004020838
50230,818004020401
50237,818004020364
50238,818004020371
50239,818004020388
50240,818004020340
50332,815648021993
50903,798681406609
50948,798681317479
51189,040589600109
51200,744253000034
51201,744253000010
51202,744253000218
51203,744253000133
51204,744253000232
51205,744253000188
51206,744253000638
51207,744253000652
51208,744253000614
51211,744253000393
51212,744253000430
51213,744253000355
51214,744253000492
51218,744253000324
51226,744253000836
51227,744253000942
51228,744253000928
51229,744253000904
51230,744253000935
51231,744253000911
51232,744253000478
51235,744253002069
51350,022188871937
51351,022188871944
51423,706397916985
51426,706397916961
51427,706397916022
51649,741566103605
51680,741566103599
51812,8053800940023
51813,8053800940030
51814,8053800940122
51815,8053800940047
51816,8053800940054
51817,8053800940061
51818,8053800940078
51820,8053670716476
51826,053670717497
51828,053670719774
51830,053670719798
51855,022188872682
51916,744253001864
51917,744253001871
52065,806703912578
52069,806703913551
52070,806703913568
52075,806703917634
52078,736676032839
52111,806703064642
52112,806703064659
52116,806703064864
52117,806703064871
52119,806703064895
52123,611613022954
52127,611613022848
52130,611613023388
52133,611613025443
52136,611613021599
52137,611613204114
52139,611613021803
52149,816715018441
52150,816715018458
52151,816715018465
