UPC,D-Q,D-P,D-SP,S-Q,S-P,Z-P,Z-Q,L-Q,L-P,Best Price,Best Price Vendor,Best Price Quantity
082442050713,0,,,0,,19.89,2,0,,19.89,Zanders,2
082442050720,0,,,0,,19.89,5,0,,19.89,Zanders,5
082442050737,0,,,0,,19.89,4,0,,19.89,Zanders,4
082442050744,0,,,0,,19.89,3,0,,19.89,Zanders,3
082442050751,0,,,0,,17.0,1,0,,17.0,Zanders,1
082442050768,0,,,0,,19.89,0,0,,19.89,Zanders,0
082442050775,0,,,0,,19.89,0,0,,19.89,Zanders,0
082442050782,0,,,0,,19.89,3,0,,19.89,Zanders,3
082442050799,0,,,0,,19.89,0,0,,19.89,Zanders,0
082442050805,0,,,0,,19.89,5,0,,19.89,Zanders,5
082442050812,0,,,0,,19.89,2,0,,19.89,Zanders,2
082442158877,0,,,0,,14.04,18,0,,14.04,Zanders,18
082442159027,0,,,0,,14.04,3,0,,14.04,Zanders,3
853828006187,0,,,0,,16.18,15,0,,16.18,Zanders,15
082442013213,0,,,0,,10.53,17,0,,10.53,Zanders,17
082442160566,0,,,0,,10.53,5,0,,10.53,Zanders,5
082442027296,0,,,0,,15.21,3,0,,15.21,Zanders,3
082442160610,0,,,0,,33.0,4,0,,33.0,Zanders,4
082442026572,0,,,0,,15.21,1,0,,15.21,Zanders,1
082442188638,0,,,0,,16.38,9,0,,16.38,Zanders,9
082442012926,0,,,0,,46.8,13,0,,46.8,Zanders,13
082442873596,0,,,0,,19.31,2,0,,19.31,Zanders,2
082442873589,0,,,0,,16.38,6,0,,16.38,Zanders,6
082442012483,0,,,0,,21.06,3,0,18.0,18.0,Lipseys,0
082442553177,0,,,0,,26.0,5,3,25.0,25.0,Lipseys,3
082442553160,0,,,0,,29.25,6,1,25.0,25.0,Lipseys,1
082442553153,0,,,0,,28.0,3,2,29.0,28.0,Zanders,3
082442553146,0,,,0,,29.25,3,0,25.0,25.0,Lipseys,0
082442553139,0,,,0,,29.25,1,0,25.0,25.0,Lipseys,0
082442778266,0,,,0,,24.0,7,2,24.0,24.0,Zanders,2
082442180892,0,,,0,,35.1,10,0,,35.1,Zanders,10
082442189383,0,,,0,,35.1,14,0,,35.1,Zanders,14
082442027777,0,,,0,,35.1,0,0,,35.1,Zanders,0
082442151243,0,,,0,,31.59,1,0,27.0,27.0,Lipseys,0
082442151915,0,,,0,,31.59,5,1,27.0,27.0,Lipseys,1
082442151984,0,,,0,,31.59,2,0,,31.59,Zanders,2
082442581941,0,,,0,,31.59,3,0,,31.59,Zanders,3
082442596457,0,,,0,,36.27,45,26,31.0,31.0,Lipseys,26
082442134246,0,,,0,,28.08,25,2,24.0,24.0,Lipseys,2
082442873466,0,,,0,,30.42,4,0,18.5,18.5,Lipseys,0
082442898698,0,,,0,,29.25,7,0,,29.25,Zanders,7
082442898735,0,,,0,,20.76,3,0,,20.76,Zanders,3
082442898711,0,,,0,,22.0,2,0,,22.0,Zanders,2
082442873459,0,,,0,,20.27,6,1,18.5,18.5,Lipseys,1
082442873497,0,,,0,,32.76,5,2,24.0,24.0,Lipseys,2
082442915821,0,,,0,,21.6,1,0,,21.6,Zanders,1
082442915838,0,,,0,,24.0,0,0,,24.0,Zanders,0
082442867700,0,,,0,,33.0,2,2,31.0,31.0,Lipseys,2
082442867694,0,,,0,,32.0,5,13,31.0,31.0,Lipseys,13
082442746807,0,,,0,,26.91,1,0,,26.91,Zanders,1
082442820590,0,,,0,,31.59,8,0,,31.59,Zanders,8
082442820583,0,,,0,,26.0,8,0,,26.0,Zanders,8
082442057606,0,,,0,,24.99,4,1,27.0,24.99,Zanders,4
082442820569,0,,,0,,31.59,19,0,,31.59,Zanders,19
082442678726,0,,,0,,4.68,20,0,,4.68,Zanders,20
026057361840,0,,,0,,24.8,24,0,,24.8,Zanders,24
026057361833,0,,,0,,18.37,22,0,,18.37,Zanders,22
082442808017,0,,,0,,13.99,87,0,16.0,13.99,Zanders,87
743404302003,0,,,0,,36.0,9,0,,36.0,Zanders,9
850022225192,0,,,0,,15.6,0,0,,15.6,Zanders,0
850022225208,0,,,0,,18.0,0,0,,18.0,Zanders,0
4045011196836,0,,,0,,17.76,10,0,,17.76,Zanders,10
703669118382,0,,,0,,35.0,0,0,,35.0,Zanders,0
888151031025,0,,,0,,86.59,17,0,,86.59,Zanders,17
190741094533,0,,,0,,13.99,3,0,,13.99,Zanders,3
190741094458,0,,,0,,13.5,7,0,,13.5,Zanders,7
190741094410,0,,,0,,16.99,8,0,,16.99,Zanders,8
190741080321,0,,,0,,16.99,0,0,,16.99,Zanders,0
089723122367,0,,,0,,59.34,4,0,,59.34,Zanders,4
811251020002,0,,,0,,779.99,4,0,,779.99,Zanders,4
811251020101,0,,,0,,129.99,16,0,,129.99,Zanders,16
617717212253,0,,,0,,73.71,5,0,,73.71,Zanders,5
617717212260,0,,,0,,34.99,6,0,,34.99,Zanders,6
617717212321,0,,,0,,40.62,8,0,,40.62,Zanders,8
617717212338,0,,,0,,45.4,5,0,,45.4,Zanders,5
617717212345,0,,,0,,45.29,0,0,,45.29,Zanders,0
617717212352,0,,,0,,60.32,1,0,,60.32,Zanders,1
617717212369,0,,,0,,62.9,4,0,,62.9,Zanders,4
617717212598,0,,,0,,52.99,6,0,,52.99,Zanders,6
617717212710,0,,,0,,63.0,3,0,,63.0,Zanders,3
617717212789,0,,,0,,47.02,3,0,,47.02,Zanders,3
617717212802,0,,,0,,70.36,5,0,,70.36,Zanders,5
617717212826,0,,,0,,97.99,5,0,,97.99,Zanders,5
617717213083,0,,,0,,16.45,13,0,,16.45,Zanders,13
617717213175,0,,,0,,73.71,10,0,,73.71,Zanders,10
617717214943,0,,,0,,29.39,4,0,,29.39,Zanders,4
617717222115,0,,,0,,89.99,2,0,,89.99,Zanders,2
617717222214,0,,,0,,58.99,3,0,,58.99,Zanders,3
617717222252,0,,,0,,69.99,6,0,,69.99,Zanders,6
858763007930,0,,,0,,30.1,11,0,,30.1,Zanders,11
858763007923,0,,,0,,32.1,5,0,,32.1,Zanders,5
617717230738,0,,,0,,14.58,0,0,,14.58,Zanders,0
617717230745,0,,,0,,14.58,5,0,,14.58,Zanders,5
617717230752,0,,,0,,14.58,5,0,,14.58,Zanders,5
617717230769,0,,,0,,15.67,5,0,,15.67,Zanders,5
617717230790,0,,,0,,15.67,9,0,,15.67,Zanders,9
794023932003,0,,,0,,37.76,5,0,,37.76,Zanders,5
676315002918,0,,,0,,34.95,3,0,,34.95,Zanders,3
602686160322,0,,,0,,28.75,5,2,28.82,28.75,Zanders,5
602686160223,0,,,0,,28.75,0,7,28.82,28.75,Zanders,0
617717140624,0,,,0,,18.66,3,0,,18.66,Zanders,3
617717340628,0,,,0,,18.66,5,0,,18.66,Zanders,5
617717304620,0,,,0,,18.66,7,0,,18.66,Zanders,7
617717604621,0,,,0,,18.66,3,0,,18.66,Zanders,3
617717104626,0,,,0,,18.66,5,0,,18.66,Zanders,5
